expenseUrl,expenseName,expenseImage
healthcare,Healthcare,https://img.icons8.com/material-two-tone/24/null/brain.png
cybersecurity,Cybersecurity,https://img.icons8.com/material-two-tone/24/null/cyber-security.png
hospitality,Hospitality,https://img.icons8.com/material-two-tone/24/null/hot-breakfast.png
information,Information,https://img.icons8.com/material-two-tone/24/null/chat.png
infrastructure,Infrastructure,https://img.icons8.com/material-two-tone/24/null/electronics.png
banking,Banking,https://img.icons8.com/material-two-tone/24/null/bank-account.png
defense,Defense,https://img.icons8.com/material-two-tone/24/null/lock.png
electronics,Electronics,https://img.icons8.com/material-two-tone/24/null/multiple-devices.png
agriculture,Agriculture,https://img.icons8.com/material-two-tone/24/null/tractor.png
iot,IoT,https://img.icons8.com/material-two-tone/24/null/thin-client.png
leasing,Leasing,https://img.icons8.com/material-two-tone/24/null/documents.png
logistics,Logistics,https://img.icons8.com/material-two-tone/24/null/container-truck.png
delivery,Delivery,https://img.icons8.com/material-two-tone/24/null/file-delivery.png
mail,Mail,https://img.icons8.com/material-two-tone/24/null/mailbox-opened-flag-up.png
energy,Energy,https://img.icons8.com/material-two-tone/24/null/light-on.png
goods,Goods,https://img.icons8.com/material-two-tone/24/null/buy-for-cash.png
engineering,Engineering,https://img.icons8.com/material-two-tone/24/null/drawing.png
manufacturing,Manufacturing,https://img.icons8.com/material-two-tone/24/null/factory.png
media,Media,https://img.icons8.com/material-two-tone/24/null/fiber-smart-record.png
mining,Mining,https://img.icons8.com/material-two-tone/24/null/water-wheel.png
beverages,Beverages,https://img.icons8.com/material-two-tone/24/null/food.png
music,Music,https://img.icons8.com/material-two-tone/24/null/musical-notes.png
oil,Oil,https://img.icons8.com/material-two-tone/24/null/gas.png
packaging,Packaging,https://img.icons8.com/material-two-tone/24/null/packing.png
petroleum,Petroleum,https://img.icons8.com/material-two-tone/24/null/petrol.png
pharmaceutical,Pharmaceutical,https://img.icons8.com/material-two-tone/24/null/pill.png
printing,Printing,https://img.icons8.com/material-two-tone/24/null/print.png
arts,Arts,https://img.icons8.com/material-two-tone/24/null/illustrator.png
production,Production,https://img.icons8.com/material-two-tone/24/null/robot.png
publishing,Publishing,https://img.icons8.com/material-two-tone/24/null/magazine.png
estate,Estate,https://img.icons8.com/material-two-tone/24/null/real-estate.png
recruitment,Recruitment,https://img.icons8.com/material-two-tone/24/null/new-resume-template.png
resturants,Resturants,https://img.icons8.com/material-two-tone/24/null/map-marker.png
retail,Retail,https://img.icons8.com/material-two-tone/24/null/shop.png
robotics,Robotics,https://img.icons8.com/material-two-tone/24/null/bot.png
airlines,Airlines,https://img.icons8.com/material-two-tone/24/null/around-the-globe.png
science,Science,https://img.icons8.com/material-two-tone/24/null/critical-thinking.png
security,Security,https://img.icons8.com/material-two-tone/24/null/smart-home-shield.png
semiconductor,Semiconductor,https://img.icons8.com/material-two-tone/24/null/mind-map.png
software,Software,https://img.icons8.com/material-two-tone/24/null/bee-top-view.png
space,Space,https://img.icons8.com/material-two-tone/24/null/rocket.png
sports,Sports,https://img.icons8.com/material-two-tone/24/null/trophy.png
bpo,BPO,https://img.icons8.com/material-two-tone/24/null/demand.png
steel,Steel,https://img.icons8.com/material-two-tone/24/null/crossed-axes.png
technology,Technology,https://img.icons8.com/material-two-tone/24/null/stacked-organizational-chart-highlighted-parent-node.png
data,Data,https://img.icons8.com/material-two-tone/24/null/database-backup.png
telecom,Telecom,https://img.icons8.com/material-two-tone/24/null/phonelink-setup.png
cryptocurrency,Cryptocurrency,https://img.icons8.com/material-two-tone/24/null/buy-for-change.png
consulting,Consulting,https://img.icons8.com/material-two-tone/24/null/cloud-user.png
design,Design,https://img.icons8.com/material-two-tone/24/null/design.png
fashion,Fashion,https://img.icons8.com/material-two-tone/24/null/panama-hat.png
textile,Textile,https://img.icons8.com/material-two-tone/24/null/sweater.png
tobacco,Tobacco,https://img.icons8.com/material-two-tone/24/null/smoking.png
aerospace,Aerospace,https://img.icons8.com/material-two-tone/24/null/travel-agency.png
tourism,Tourism,https://img.icons8.com/material-two-tone/24/null/bungalow.png
waste,Waste,https://img.icons8.com/material-two-tone/24/null/landfill.png
